source,target
malejax5h,mauriciohenao
tatycastillo55,tatianacastil27
rogerstaeugenia,notipaco
JohnByronIsazaS,MCarolinaHoyosT
jaJapachon,angelamrobledo
Otonashi19,JulioLozanoB
MiamiFlorida15,ghitis
antonioanguloP,adrianitaca
joseant72838920,lauramantillara
sanchez_med,RICOGabriel
LuzRoCorredor,MCarolinaHoyosT
lilufg,MartinSantosR
CeciliaAgamez,aseutp
irmasegural,byronaedo
checonguero,GNavasTalero
tutuarenas,JavierEnBogota
Dianamunoz06,JuanDiegoSoyYo
fisherko4630,SindyElefante
MiguelNeira13,UP_Colombia
jennyca35561303,ZurdoFlexible
gustavoalfaroh,victor_417
antonioanguloP,Juanita_Duque_R
MarthikEscorcia,fzciudadana
mauro_chef,UP_Colombia
vanetv,todoalnatural
DIANAPRINC26,GustavoBolivar
wecher29,Karogomez_
Damarka14,JORANDEST
profmariahelena,Jorgebta
antoniosilvi,AngelicaZamoraP
NICOLAS_SF24,JuanDiegoSoyYo
vannydc,MargaritaRepo
marcfaustino,notipaco
slliteres,piedadcordoba
ariasen978,RNMColombia
MimeGalindo,MargaritaRepo
Jhosemuva,JuanDiegoSoyYo
MarthikEscorcia,fzciudadana
helmvergara1,MartinSantosR
cecimiosotis,natiibedoya
irmasegural,victor_417
elperezoson,The_Tuitero
JuanCabarcas2,todoalnatural
Rubenchinob,tatianacastil27
Andre_ina1,ghitis
jennyca35561303,OscarASaavedra
betty_beleno30,MargaritaRepo
Otonashi19,CaputoRodriguez
djjh2011,todoalnatural
GonzaloAgudeloH,LuchoJacobsen
myriamluna62,MargaritaRepo
CamiloMontagut,AngellineRolon
tutuarenas,JavierEnBogota
CesarHilarion,Teticaida
manuelvillegs,portillojivan
Gardonpablo,UP_Colombia
kata2024,EseTonito
williamhhhh,JEAM_79v2
vicgarzon,vicgarzon
olgercohen,LuchyRamirez01
RDSarraute,tatianacastil27
sofiarojas2430,Karogomez_
JEAM_79v2,Duck_Krugger
olgercohen,LuchyRamirez01
navalda,_carlosduque
olgercohen,LuchyRamirez01
miyakiv,RNMColombia
MrFrank_Daniels,UP_Colombia
mponsford,OscarASaavedra
David_Teixido,notipaco
puntodevistardb,adolfospina
AdrianaJimenzz,fundacoin1
EsperancitaUrib,GNavasTalero
liralopezb,JavierEnBogota
yoli595959,notipaco
profmariahelena,sebasantanders
LucasCanasJ,MartinSantosR
juansarria80,natiibedoya
YaoMedinaMar,Yudyruizolarte
a_mirta,tatianacastil27
olgercohen,LuchyRamirez01
JUANFERNANDOLO7,IvanCepedaCast
JUANFERNANDOLO7,piedadcordoba
ximagaviria,dmoyag13
juancharlest,ClaudiaLopez
eudaldcc,notipaco
Berceura,ClaudiaLopez
YaoMedinaMar,angelamrobledo
LucasCanasJ,MartinSantosR
YaoMedinaMar,GustavoBolivar
MarthikEscorcia,fzciudadana
ricardosc2373,natiibedoya
YaoMedinaMar,JERobledo
pesrlaoficina,LuchyRamirez01
_MiguelHuertas,angelamrobledo
gloriacucunuba1,mrafael70
ClaudiaPinedaT,EmirLopez81
YaoMedinaMar,marchapatriota
ariasen978,antonioanguloP
PeppyMiller04,OscarASaavedra
pedrosalazar420,LaDeLasFrutas
JuanCabarcas2,subcantante
machadodz,notipaco
gilrubioc,Indig__nada
andresfforero1,vanecu
hegar1951,MargaritaRepo
oscarperdomon,ricardo_maderas
ivacasvac,ensanro
gloriacucunuba1,carlosecaicedo
LUISSOL66,Ache70
ramirosuarezp,OlgaLVelasquez
sandra_monicas,RICOGabriel
muyimpresionado,MargaritaRepo
nata8904,ALEXFERNEY
xor_and_not,EstebanJArcila
JUANFERNANDOLO7,ANZORC1
diegoalexparrac,byronaedo
JuanCabarcas2,GustavoBolivar
ArleyBonillaR,JERobledo
jaimico30,gaba_742
Eduardo34335233,ghitis
0V4P,Fergicienta
hamilton1105,Tuiteretera
patriaylibertad,Rozozam
kurtcidio,Fergicienta
1sevbvss,PaulinaLaponte
Amante95,LucasCanasJ
oscarperdomon,DaniSie
ElrinconSamario,mrafael70
kurtcidio,ismene2
caserna0,ClaraLopezObre
Risharky,GiordanoBrunoFi
plan353,LuchyRamirez01
0V4P,BastianSt
izquierdogerman,angelamrobledo
Garnica7519,ThaniaVegaCD
SaraLuna2016,lilysei
BetoC_Castro,JERobledo
Team_AntiRojos,Team_AntiRojos
LauraGio_75,gabrillasarti2
Berceura,ClaudiaLopez
Simon9barris,notipaco
lanatusil,LMENNUESTRAPIEL
enriquegive,soyjuanctorres
BraulioACc,ClaraLopezObre
GPerezPardo,Yese_Mojica
Mariateresa7972,tatianacastil27
Der_MadreTierra,AtiQuigua
VictorAlarconOl,natiibedoya
gostcanterville,JuanOspinaV
simn_cordoba,AnaMariaSanzon
VeniParchate,fjaviermejia
sanchez_med,IanSchnaida
wdaza,nataballespi
pepenao1,Rozozam
FEBUVE,Vicme100
GatoBurgues,JERobledo
reginanuniez,CrisGarcia2412
Jhosemuva,MCarolinaHoyosT
CandeOran,notipaco
afrosporlapaz,EugenioPrieto
UnidosPorLa15,Soycentral4
negrita4646,ClaudiaLopez
Jaanndra,betodurand
JuanJose_GJ,CHICACERETE
franca_canzani,gabrillasarti2
VeniParchate,mamanomeleas
yeinisgomez,SamaraQuintana
kikeriveira,MartinSantosR
krylovvelemir85,JuanSGuarnizo
cfelipemon,Maugor
diegorevolt,rebe99
agfre90,juliandezubiria
cristian0409,AidaAvellaE
VeniParchate,RICOGabriel
MartinezLyda,LuchyRamirez01
afrosporlapaz,OscarASaavedra
0V4P,GustavoBolivar
Garnica7519,ThaniaVegaCD
afrosporlapaz,DrWilfredoBello
giovasuarezri,natiibedoya
ClaudiaPinedaT,AntonioSanguino
BenjaminHiguita,MartinSantosR
Supeguisu,ideaspaz
somoscompaz,junot533
jgaleanb,ThaniaVegaCD
kikeriveira,luisfelipehenao
Anaya1962Jos,charoguerra
VeniParchate,JORANDEST
suramericano1,LuisOrlandoS
jeanmarra,Team_AntiRojos
DavidEnriqueRue,subcantante
ramiroosa,GustavoBolivar
tiranoSatiro,JuanDiegoSoyYo
norysdelmar1,Team_AntiRojos
VeniParchate,JulioLozanoB
capitacanavego,notipaco
Maylinrosalesj,AdrianaRivas96
CamiloArenas_,JavierEnBogota
trotaaa,LuchyRamirez01
OBarreraJ,germanduarteher
MAndreaNieto,alfonsoprada
andreszamudiofc,hispanopost
julianhermer,GustavoBolivar
rinoceronte44,Yudyruizolarte
MarianaArteagaM,alfonsoprada
Ginsanty,GustavoBolivar
BGuald,mluisaherrera
PetteneAnna,FISRemo
ghitis,natiibedoya
slxve4alice,UP_Colombia
rinoceronte44,MCarolinaHoyosT
luchovar653,jnn59
edwinguerreron,edwinguerreron
trotaaa,Duck_Krugger
aalexalopez,PlataformaALTO
slxve4alice,Ale0922F
angela8906,alfonsoprada
Patriote03,lilysei
pablocj28,marchapatriota
merycvidal01,Team_AntiRojos
sandycapi,Carlos_Hoyos
Valen0422,mamanomeleas
ISACRIS88,Team_AntiRojos
snarvaezg,lnarvaez57
pablocj28,ANZORC1
pcmretiro,notipaco
Mafe_Avila,alfonsoprada
__andromedaa,UP_Colombia
suramericano1,ConlaOrejaRoja
MarthikEscorcia,mrafael70
aspucauca,IvanCepedaCast
LGorrion,Dani_direc
AdultoMayorSM,mrafael70
JuanPAcero,dianamotavo
VeniParchate,IsaacMoPe
OBarreraJ,Team_AntiRojos
_MiguelHuertas,GustavoBolivar
liliana_crosas,Team_AntiRojos
MaciasS9512,GustavoBolivar
Salvador_Sanche,ALEJOBARRAGANN
williamhhhh,natiibedoya
sanchezmote33,cristinaumana
KarenAhumadao,IvanLopezEspana
MaritzaTobonR,MCarolinaHoyosT
_MiguelHuertas,JERobledo
cfelipemon,subcantante
Loimperdible,edwinguerreron
muyimpresionado,natiibedoya
corporunainy,UP_Colombia
CARMENROSAVEGA,gaba_742
hegar1951,natiibedoya
lilufg,luisfebarrera
Jpbarriosg,UP_Colombia
AndresM1985,rosealeja
joanquisal,notipaco
jorenvilla1,SenorCaicedo
sergio_diazj,JERobledo
oscaredaza,alfonsoprada
luisgamora09,Augusto_Posada
KarenAhumadao,AngelicaZamoraP
aclarandodudas,edwinguerreron
ArribaStaMta,fzciudadana
mariavarelah06,Team_AntiRojos
normaaparicioe,coeuropa
AnaAraujoCo,Yudyruizolarte
Schonen_Blauen,LuchyRamirez01
rocioromen,MartinSantosR
MaritzaTobonR,katyusha13
ribacilon10_pv,MargaritaRepo
Rodrigo_Torresz,GustavoBolivar
Salvador_Sanche,MichaelSkolnik
barbacho2010,GustavoBolivar
al_xiomara,jnn59
ZONAALEX9864,natiibedoya
VeniParchate,UP_Colombia
xor_and_not,pierrealee
casteandres93,nestorespitia
aljorge46,natiibedoya
antoniop133,UP_Colombia
BoyacaUniversal,forest_wise
elianua,MartinSantosR
junisan63,PachoSantosC
jfhhoyos,Vicme100
SEHernandezR,JuanKarloslos
wdaza,alfonsoprada
al_xiomara,EseTonito
FredeMengual,notipaco
ALIBUR55,Team_AntiRojos
mpantioquia,subcantante
marinellamata,hispanopost
VIReich,LuchyRamirez01
luisarojas__,JuanOspinaV
NORMABEATRIZCA3,Team_AntiRojos
NellyEs74411767,MAndreaNieto
wecher29,JERobledo
Portuachuelo,JERobledo
NellyEs74411767,JuanCamiloHG_
rocioromen,pierrealee
profmariahelena,Alejandra19R
enriquegive,jnn59
LuisEdo58747,dianamotavo
ecadavid2008,natiibedoya
grathko4230,layepita
casa_la,NotiBAdentro
angelhfcd,Pura_Miel
luchovar653,GiordanoBrunoFi
DennisUrrego,JERobledo
falavi2005,Franciscoh99
janner90,natiibedoya
SimonSepulvedaa,efrapotter
Tavonova_03,edwinguerreron
cecollm,nichin2701
JUSECAR,JuanOspinaV
Luisga_62,mariana0290
SANPABLOARENAS,alfonsoprada
Natica461,MCarolinaHoyosT
progresistascol,ColombiaPetro18
LuksDevill,EmiLioJoseN
ismene2,UP_Colombia
xiomarajlara1,tatianacastil27
Naticapedroza,Teticaida
Ariasvilla,LuchoJacobsen
DanielCorzo1,elcarlosjuan
AbelCarrascot,NicolasRosasG
ivoponcesa,Yudyruizolarte
Angielopez15_,gaba_742
progresistascol,somosjovenespro
pitibejarano,GustavoBolivar
vjcoguan,subcantante
JQuimbiamba86,Aliciadorada
albert2460,Nathastefa24
JuanaTHC,JuanDiegoSoyYo
luchovar653,Paticordoba
luismirandasrwr,HOLLMANMORRIS
inseptumlucidum,angelamrobledo
manuelc418,LuchoJacobsen
AbelCarrascot,SandovalFuquen
yeinisgomez,luisa_bermdez
BrendaOdalisB,SoyBryanSolarte
CaballerHarold,SumateAlSi
NathaliaVasquez,heartforchange
pablocj28,Andres_Bernalf
LaDeLasFrutas,UP_Colombia
Benjamin_Erazo,Natimuchkisses
avila_fausto,LuchoJacobsen
JuanGui_RMCF,Team_AntiRojos
RosiRiveira,mclacouture
profmariahelena,lupachoguerra
NellyEs74411767,AABenedetti
LidiceRodriguez,Team_AntiRojos
dmoralesurrea,LuchoJacobsen
faisalkapadia,globalvoices
bethge_maria,tatianacastil27
antoniop133,lupachoguerra
Daniela_MejiaA,SalcedoRamos
PazEnserioCol,Maorodriguezgon
YuriQuinones,piedadcordoba
yoli595959,Yese_Mojica
BeldysH,ColombiaDiversa
jfcjimenez,JuvREBELDE
jpulidoscott,fzciudadana
AmeliaLaRotta,AlejaTuberquia
xor_and_not,Karogomez_
claumhv,GustavoBolivar
M28Alejandro,jerojasrodrigue
YEZEIMPARABLE,UP_Colombia
holycalumbieber,todoalnatural
mangelortizsan,partidodelaucol
almantilla01,piedadcordoba
YEZEIMPARABLE,OscarASaavedra
LuisEdo58747,Yudyruizolarte
wecher29,jnn59
anyi_gz,rigocb3220
progresistascol,jepetru
CoordinaValle,Edullano
HECTORfelino,somosjovenespro
julietabellad,JEAM_79v2
jaln1984,SoyAndresParra
samuelenochest,juamon
AmeliaLaRotta,JorgeEmilioRey
MarzeG_,subcantante
profmariahelena,LopezJuanDa
Cindy_Varmu,SenorCaicedo
Jescobar87,rodri22072
CoordinaValle,IanSchnaida
AlbertoAcostaE,CensatAguaViva
JuanPAcero,LuchoJacobsen
LaPardita,lacatagarcia
EdelmiraRivera8,lina_isabele
OLGAURREGO,JavierEnBogota
anaoltra72,AdoPinedaG
LaCura_,UP_Colombia
EdwardSalazar1,Rolita83
smithko4807,nathachacont
lluviaenllamas,todoalnatural
YEZEIMPARABLE,Tuiteretera
ContraGodarria,Nathastefa24
SebasMontoya31,esalazar_y
diegoalexparrac,jnn59
MJTM_26,JORANDEST
_MariaSalazar,mauriciohenao
juanchoabogado9,LuchoJacobsen
Fuarez,JERobledo
haroldararat,MarioGreen
YEZEIMPARABLE,rebe99
RaulPavajeau,partidodelaucol
Quovadis__,EstebanJArcila
laiacaste,gemmaubasart
JoseRLarrarteG,MartinSantosR
YEZEIMPARABLE,JuanDiegoSoyYo
Cisf_19,subcantante
Nicolas_Ardila,Nathastefa24
Rodrigo_Torresz,CindyEspitiaM
JoseRLarrarteG,MartinSantosR
marylicasale,natiibedoya
JoaquinSerge,joseluis_QF
lauangelg,subcantante
juanchoabogado9,subcantante
amayachampion,natiibedoya
YEZEIMPARABLE,CindyEspitiaM
ZullyPez,ierrejon
WilchesF,Montecristo9219
OscarSinLaRenta,LuchoJacobsen
Cisf_19,rebe99
Autoresineditor,marchapatriota
Rodrigo_Torresz,CindyEspitiaM
roberthescobar,EstebanJArcila
amaia_av,piedadcordoba
jazzminuptc,juanmanuelgalan
villarrealjavi,RNMColombia
antoniop133,lauramantillara
REYDEARCABUCO,ONIC_Colombia
mariaboffill,Impuntual_es
JarilloSandra,IanSchnaida
stefaco,GustavoBolivar
BasyElias,partidodelaucol
soyleoromero,Yudyruizolarte
VMelendezG,AsambleaCauca
anacyepes,LuchoJacobsen
LaMariArdila,womenslink
DanielGut_Mejia,MopalCa
luchovar653,JOAOALEJO
alejo7valencia,PachoSantosC
villarrealjavi,pluralcolombia
JoaquinSerge,Lucho4758
laurarangelloc1,todoalnatural
YEZEIMPARABLE,UP_Colombia
LaMariArdila,womenslink
jennii05,ErikaTorregrosa
HernanChelo,ThaniaVegaCD
PaulaKittyv,MargaritaRepo
Luisvargas15,JavierEnBogota
DiiegoAlejoo,JuanDiegoSoyYo
haydeeqa,natiibedoya
jfcjimenez,KarolaEnriquez
ANGELICAMYS,LuchoJacobsen
PaulaGill_G,UP_Colombia
VeniParchate,EstebanJArcila
JuanaTHC,c1mora
AldiaSostenible,edgarmor7
alan1058,karen0692
Yenny_reina,fzciudadana
sergioRobayito,Toxicomano
cmroserolabbe,mrafael70
Andres_Huertas_,a0p0b0g
josedantorrado,ColectivaRefugi
luzm_martinez,LuchyRamirez01
Cisf_19,jsebasmusic
antoniop133,notipaco
cpc591,pverasalazar
profmariahelena,angelamrobledo
acebedofabiio,IanSchnaida
AndyCor37794355,natiibedoya
YEZEIMPARABLE,MCarolinaHoyosT
luddico1844,CensatAguaViva
Helluthebest,mamanomeleas
joliveros2,Alexoliverosg
FELIPEMUID,soyjuanctorres
castielxmiracle,todoalnatural
AngelicaLozanoC,pluralcolombia
UribeDamajo,GustavoBolivar
UP_Colombia,marchapatriota
luchovar653,LSanchezAndres
Astrid_Ximena,TrinoYQue
carmonad,Karogomez_
canderincon,hayquejoderseno
JSACROSOFT,Nathastefa24
ogomezaya,GNavasTalero
Helluthebest,fjaviermejia
UnTalAndresRo,ColombiaDiversa
AugustoColon95,marchapatriota
FABIOLAALEMANMU,CamiSalamanca
guss2373,gisselleapa
angelprietoo,DonTomatte
yoli595959,marchapatriota
Pazsiana,ierrejon
harryrendon,MauricioGalin11
analitiko,SenorCaicedo
CAMELOEDGAR,MargaritaRepo
EvaDeLaO89,MCarolinaHoyosT
yazminruizr,todoalnatural
InTweetiva,UP_Colombia
CocotaPura,karen0692
Dzambrano31,AntanasMockus
herman_amayat,Karogomez_
harryrendon,Xlapaz_Colombia
hparedescor,GustavoBolivar
luismontoya72,luismontoya72
julietabellad,Montecristo9219
crlscammac,godie87
castrojohaner,natiibedoya
ogomezaya,GustavoBolivar
gilbertoparra85,csancheznieto
Luisa3105,AlejaQuintana05
NellyEs74411767,lopezjosedaniel
JuangoUribe,pluralcolombia
maravilla71,LuchoJacobsen
lmurciro,GustavoBolivar
Dzambrano31,SalcedoRamos
MaCamilare,J_MauricioBello
MeciaMireya,Team_AntiRojos
DianaRodriguezU,TrinoYQue
ANTONIOLE27,Karogomez_
maglyysupoder,ClaudiaLopez
fralop1964,LuchyRamirez01
omartodavia,KatuArkonada
EstebanVIus,UP_Colombia
omartodavia,jmkarg
angelprietoo,caroavi
CVilo_,carolinarinco
5hsoul,jsebasmusic
CamiloCancelado,UP_Colombia
davisosky,Nathastefa24
LinaCFranco1,pluralcolombia
FranceskMolinaa,josedavidnaji94
PGutierrezOssa,CarlosCarrilloA
Chikkiospina,ApofisMedellin
stefaco,GustavoBolivar
YEZEIMPARABLE,AABenedetti
MJTM_26,MajidaIssa1
pajupedraza,RosaMariaCorcho
AleJonaticPDC,JeferOficial
NellyEs74411767,nataballespi
rubendcarrillo,JavierEnBogota
RMaMunoz,GustavoBolivar
YEZEIMPARABLE,SCarrascalP
carleche,carleche
profmariahelena,UP_Colombia
JulesGarrido,Nathastefa24
ingealvarez68,JuanDiegoSoyYo
DaniSanabria1,javiscanabis
luzm_martinez,LuchyRamirez01
chaoticblue83,techancluda
VanePlayer,natiibedoya
AstridStamaria,FerCardenas
laibanez06,UP_Colombia
itskevinstev,datometro
PalomaValenciaL,judoming
Andres_Huertas_,estebancuaran
hotvideotweets,ClaudiaLopez
GlodelRio,GNavasTalero
Samantha100275,pricho197633
juaravil,GNavasTalero
CamilunaPaez,JERobledo
jaimico30,judoming
Yenny_reina,carlosecaicedo
_MiguelHuertas,IanSchnaida
progresistascol,fernandezlennin
XimenaLizarazo,ThaniaVegaCD
FestivalLicor,ApofisMedellin
AuroraBurgos4,judoming
menaLeon2,alfonsoprada
apolania13,GNavasTalero
Mutis_4,IanSchnaida
ftovittov,piedadcordoba
EdwinBesaile,Cristyrh07
de_menese,CamiVar8
AndreBaronOrtiz,Fergicienta
cueterjuan,RUBYELENA1
MariaParra_,MalJugada
78Amador,gaba_742
Siudadanos_Paz,fernandezlennin
Quovadis__,victor_417
MetroYCincuenta,subcantante
FAMILIA58,MargaritaRepo
luisrafael2,mrafael70
KaryCabreraD,repnicoguerrero
muyimpresionado,judoming
Yenny_reina,fzciudadana
garces2009,JavierEnBogota
AndreGG05,elcarlosjuan
YEZEIMPARABLE,HOLLMANMORRIS
Helluthebest,Ana_Franco_
IUEzker,piedadcordoba
ANGIEPADILLA05,GustavoBolivar
Lina_Lopez,rebe99
kw31u2vlFWvWXq5,LuchyRamirez01
PatriciaMontoy6,judoming
alejosantos126,marchapatriota
GloriaLunaa,edgarmor7
JoseEHinestroza,lupachoguerra
HeidiTavera,toto_vega
rutmarielfe,fjaviermejia
wilsonor1955,ClaraLuzRoldan
Lina_Lopez,OscarASaavedra
SantiagoPardoR,womenslink
aoviedo64,_RAFAMONTENEGRO
Lina_Lopez,AlejaQuintana05
MSc_Alejandro,judoming
Salabarrieta,SalcedoRamos
jaimeasalda,judoming
IUEzker,UP_Colombia
NellyEs74411767,alfonsoprada
fersol101150,YAMBITARA
Yenny_reina,fzciudadana
doplapi,GustavoBolivar
Ariasvilla,UP_Colombia
DIAPOLA,juanjo311
m_sinisterra,judoming
AlbertoMtinezM,NathyTarazona
GloriaLunaa,AndreyRodrigF
crispulorb,Nathastefa24
PEDCAS,judoming
diegorevolt,rebe99
michiokaus,BillyHuesos
MujerNoCreyente,Fergicienta
JULITEOR,judoming
capo2858,hispanopost
carlosmessier,federicogomezla
GutierrezAnaMa,juamon
davidinfant3,juliandezubiria
YeimisAriel,GuiliamVilasco
JennBoshell,GuiliamVilasco
JuanKmiloGirald,byronaedo
Catalina_tej28,The_Tuitero
fernapiensa,juanjo311
agudelocar,HOLLMANMORRIS
DaniGonzalezLl,mtwramirez
sergiodigra,RosaMariaCorcho
AbnerLopezS,GustavoBolivar
Andres_Huertas_,subcantante
AFAB19,somoscaribe_
JuliethCanoz,Andean_US
YEZEIMPARABLE,juanmanuelgalan
AdriRodriguez03,UP_Colombia
FranQuintero_94,FranQuintero_94
svmu5,Toxicomano
Romanpaisita,vivianacharg
Quovadis__,AnasofiSan
Cesar_Acosta27,subcantante
Lina_Lopez,Tuiteretera
afaj9090,ClaudiaLopez
federicoacevedo,ClaraLopezObre
luchoceliscnai,_carlosduque
carollimpo,ColombiaPetro18
farid_337,subcantante
OlgaLizethH,UP_Colombia
Lina_Lopez,rebe99
Luigycenteotl,PlataformaALTO
crlscammac,UP_Colombia
hefiro,natiibedoya
reneayalab,marchapatriota
MariaJulietaQ,LuisVillarrealY
MarliumJamir,PoderCiudadanos
Quijada_Cruz,natiibedoya
miguelandreg,UP_Colombia
Macajacta,The_Tuitero
diegopazcruz,JorgeEmilioRey
Conycarvajalg,GustavoBolivar
jaln1984,GustavoBolivar
lau0412,ClaudiaLopez
MarcelaPerdomop,coeuropa
zoonapolitikona,marchapatriota
Camielunicornio,MantillaLaura_
jaln1984,GustavoBolivar
Concejal_Verde,ClaudiaLopez
YEZEIMPARABLE,jepetru
YEZEIMPARABLE,marchapatriota
Marielarubiano,juliandezubiria
sj_rosado,Cristyrh07
rdeserpa,lopezjosedaniel
AbnerLopezS,adrigonzapa
KIDRAUHLB4BY,JuanOspinaV
daniela97_,ClaudiaLopez
WILLIAMRGODOY,judoming
gcaro31,UP_Colombia
Cristianariza23,jaimepumarejo
Krissalazar,UP_Colombia
DesaparecidoCol,UP_Colombia
rcamargo11,ierrejon
rdeserpa,ojldelvalle
julianatinoco10,JulioLozanoB
luisa_bermdez,luisa_bermdez
avila_fausto,ClaudiaLopez
mariogarcia_30,judoming
5hsoul,BastianSt
Delia_decaires,MargaritaRepo
simedi21,Rozozam
lucrecialobu,adrigonzapa
esamkadour,UP_Colombia
angelamrobledo,angelamrobledo
LuisitaB,The_Tuitero
esamkadour,piedadcordoba
ilkaolivacorado,maantoniasantos
JeferOficial,InformateTV
liliana_crosas,juanjo311
PaulCordoba1,miguep_ade
MiguelDiaz9211,mamanomeleas
LaLumbre2013,natiibedoya
Michael213P,jairitoalvarez
YEZEIMPARABLE,LidiaMendivelso
farid_337,subcantante
alkaravan,soyjuanctorres
XimenaLizarazo,Rozozam
PatrickSilva90,Vicme100
Asdfghjkl_juli,DrWilfredoBello
jcmd88,JavierEnBogota
Romanpaisita,charoguerra
LauraAlbornozD,notasingledamnf
SierraCarlos33,somosjovenespro
DerianReina,UP_Colombia
HijosenBogota,UP_Colombia
DELPILARMARIGNO,judoming
pepitoperez20,UP_Colombia
DanielCaderonL,mamanomeleas
correitav,LuchoJacobsen
SierraCarlos33,GA_Jaramillo
APOM23,ClaudiaLopez
aPatriMartinez,apinedacan
juanchoabogado9,SenorCaicedo
abu1252,ClaudiaLopez
RobertCorredorr,EduardoCombito
luismontoya72,mariaortizm7
OswaldoMoreno,AntanasMockus
APOM23,HannaPrensa
RoberMirandaz,gomezjuancho
JoseEHinestroza,UP_Colombia
antoniop133,FernandoVeLugo
fervillegasmon,juanjo311
OBarreraJ,CZUAS
GiordanoBrunoFi,atahualpa2384
LuisEdo58747,LucasCanasJ
EdnaDeLaHoz,angelamrobledo
PachonGuillermo,natiibedoya
ASOPERIJA,marchapatriota
ehernandezd,ManosLimpiasCo
almafunmi93,tatianacastil27
polocho03,MOinternationa
Hdavid42,Camilomej
NavIza31,AmericanosFiel
mejiamed,AmericanosFiel
sj_rosado,angelamrobledo
carlosdiaz0115,edisonburbanoCM
Dennis08481468,mamanomeleas
AUGUSTOGONZALE5,MargaritaRepo
sergiotrujillo3,jjtrupe
pepenao1,natiibedoya
michiokaus,notasingledamnf
5hsoul,GustavoBolivar
Coruncano,PachoSantosC
antoniop133,UP_Colombia
LuisEdo58747,MCarolinaHoyosT
acadavid,cvieiram
AmsbkwrmSantos,todoalnatural
RojoLagunero,piedadcordoba
erwinfserrano,MartinSantosR
AndreaRls98,KIDRAUHLB4BY
HabitanteDaniel,Karogomez_
RosaMMattos,andreasaldaj
AUGUSTOZAMORA,ThaniaVegaCD
connieaguja,marchapatriota
AndreaRls98,Mutis_4
pipe8866,judoming
xaviberruezo,notipaco
AbnerLopezS,angelamrobledo
CardeWikmer,juanjo311
Ivan_Ocazionez,datometro
luchoalejotr,ojldelvalle
PenelopePas,soyjuanctorres
CtTotal,marchapatriota
lunamontero,lopezjosedaniel
AlmudenaOrtega,AntanasMockus
tirsobuitrago,marchapatriota
gervelasquez80,Alexoliverosg
Lina_Lopez,JuanOspinaV
MelaniePerezM04,todoalnatural
RosaMMattos,acacirense
JoseENunes,MargaritaRepo
Carolgonu,MartinSantosR
Eduardo34335233,carosle
sheiklahs,MCarolinaHoyosT
CtTotal,UP_Colombia
GabrielJaimeHoy,ClaudiaLopez
filefit,JacopoNesti
LaLumbre2013,mylu49
NttyPuerta,angelamrobledo
Vaskes37,MerasNalgas
vjcoguan,UP_Colombia
Ch_m20,JavierEnBogota
Pitagorasca,dianamotavo
VHenriquezBC,ManuelRobles44
Setaebna,todoalnatural
Cristyrh07,Cristyrh07
Cristyrh07,Cristyrh07
rovillalba,jjtrupe
JuanKSantana,GermanEspejo_
acerosandra,mclacouture
LaLumbre2013,JEAM_79v2
Cristyrh07,Cristyrh07
KikE_25Padilla,AmericanosFiel
SofiaLinars,PrensaJIOspina
stefaco,narizam28
1QueCuenta,judoming
AlmudenaOrtega,Tuiteretera
HernanChelo,ThaniaVegaCD
C4RLO5_P,judoming
ckamirg,javier__suarez
Juanse_Vale,NelsonGonzalezS
gmac8412,MerchanZuleta
SPimiento,UP_Colombia
ANTONIOMEDINA35,Team_AntiRojos
Coruncano,JavierEnBogota
Iamtheleftover,MenteAburrida
alonso_cuadrado,r_Montenegro
christianruge,UP_Colombia
Colombia_Vital,Sintrabancol_
Teddyortiz,natiibedoya
FongQuitxa2,UP_Colombia
eaisamak,Martinez__MIRA
KikE_25Padilla,GuiliamVilasco
peanlomu,ClaudiaLopez
Iamtheleftover,andresleotg
nananoguera1,williamretamozo
Daniela_RBD_,UP_Colombia
koskita,UP_Colombia
angelpenarand,ElizaSeplveda12
ftovittov,UP_Colombia
Colombia_Vital,Sintrabancol_
AngelicaCastano,andersanchez32
jeanmarra,Team_AntiRojos
maxwolf63,lilysei
Colombia_Vital,Sintrabancol_
Daniela_RBD_,julianagalvis
eaisamak,GiordanoBrunoFi
Krissalazar,UP_Colombia
chemolina1,JavierEnBogota
Wilmer_MFC,subcantante
ContraGodarria,lanaya947
nananoguera1,AngelicaG129
SIPAZCOLOMBIA,elkiinjaviier
edwinramirez444,GustavoBolivar
andresoquendos,JuanICortes
Samile116,mygodlouis
eleazarefimov88,WilferJ
jorgesinindifer,UP_Colombia
JoseMD29,ismene2
ogonzalezoscarg,judoming
Colombia_Vital,Sintrabancol_
Lina_Esperanza,angelamrobledo
PaulaNiviaDiaz,julianagalvis
Arlequin69,ClaudiaLopez
mclmat,judoming
Pau_Forero1,CachetesMateus
CesarSerpa,JuanOspinaV
Colombia_Vital,Sintrabancol_
NickyTorres182,UP_Colombia
Colombia_Vital,Sintrabancol_
Patrici74288819,Mao_DuarteNY
Colombia_Vital,Sintrabancol_
AndresMeC22,fzciudadana
polocho03,JadrianaEsparza
AndresMeC22,mrafael70
cenen_ayala,judoming
UP_Colombia,UP_Colombia
Hennypocahontas,JuanOspinaV
AliGovea1,ClaudiaLopez
LuisEdo58747,GNavasTalero
x3DieGox,LucasCanasJ
YesidSMartinez,somosjovenespro
lufranlou,UP_Colombia
Daniela_RBD_,FelipecorreaE
koskita,lupachoguerra
